# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[  1309] ((nontrivial) ∧ (chordal)) ⇒ (clique_number + -1) ≤ positive_semidefinite_zero_forcing_number    -- trivial:subsumed
[  1283] ((nontrivial) ∧ (bipartite)) ⇒ chromatic_number ≤ clique_number    -- trivial:known
[  1263] ((nontrivial) ∧ (K_4_free)) ⇒ domination_number ≤ total_domination_number    -- trivial:known
[  1260] ((nontrivial) ∧ (cograph)) ⇒ chromatic_number ≤ clique_number    -- trivial:known
[  1259] ((nontrivial) ∧ (bipartite)) ⇒ chromatic_number ≤ 2    -- trivial:known
[  1203] (nontrivial) ⇒ matching_number ≤ annihilation_number    -- trivial:known
[  1196] ((nontrivial) ∧ (cograph)) ⇒ vertex_clique_cover_number ≤ independence_number    -- trivial:known
[  1189] (nontrivial) ⇒ well_splitting_number ≤ connected_zero_forcing_number    -- promising:universal
[  1175] (nontrivial) ⇒ min_maximal_matching_number ≤ matching_number    -- trivial:known
[  1164] ((nontrivial) ∧ (connected)) ⇒ positive_semidefinite_zero_forcing_number ≤ vertex_cover_number    -- trivial:known
[  1138] ((nontrivial) ∧ (connected)) ⇒ matching_number ≤ annihilation_number    -- trivial:known
[  1124] (nontrivial) ⇒ total_domination_number ≤ roman_domination_number    -- promising:universal
[  1122] ((nontrivial) ∧ (bipartite)) ⇒ edge_cover_number ≤ independence_number    -- promising:class
[  1104] ((nontrivial) ∧ (cograph)) ⇒ power_domination_number ≤ domination_number    -- trivial:known
[  1098] ((nontrivial) ∧ (planar)) ⇒ diameter ≤ (2 · radius)    -- trivial:known
[  1096] ((nontrivial) ∧ (K_4_free)) ⇒ positive_semidefinite_zero_forcing_number ≤ connected_zero_forcing_number    -- trivial:known
[  1037] ((nontrivial) ∧ (chordal)) ⇒ radius ≤ (roman_domination_number + -1)    -- trivial:subsumed
[  1010] ((nontrivial) ∧ (chordal)) ⇒ diameter ≤ (2 · radius)    -- trivial:known
[   979] ((nontrivial) ∧ (planar)) ⇒ chromatic_number ≤ 4    -- promising:class
[   970] ((nontrivial) ∧ (bipartite)) ⇒ vertex_clique_cover_number ≤ independence_number    -- trivial:known
[   966] ((nontrivial) ∧ (cograph)) ⇒ power_domination_number ≤ independent_domination_number    -- trivial:known
[   935] (nontrivial) ⇒ (roman_domination_number + 1) ≤ double_roman_domination_number    -- promising:universal
[   922] ((nontrivial) ∧ (bipartite)) ⇒ edge_cover_number ≤ annihilation_number    -- promising:class
[   922] (nontrivial) ⇒ total_domination_number ≤ two_rainbow_domination_number    -- promising:universal
[   917] (nontrivial) ⇒ sub_total_domination_number ≤ roman_domination_number    -- promising:universal
[   904] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ domination_number = independent_domination_number    -- promising:class
[   903] ((nontrivial) ∧ (triangle_free)) ⇒ edge_cover_number ≤ vertex_clique_cover_number    -- promising:class
[   895] (nontrivial) ⇒ sub_total_domination_number ≤ (2 · slater)    -- promising:universal
[   888] (((nontrivial) ∧ (chordal)) ∧ (cograph)) ⇒ domination_number ≤ power_domination_number    -- promising:class
[   880] ((nontrivial) ∧ (subcubic)) ⇒ maximum_degree ≤ 3    -- trivial:known
[   873] ((nontrivial) ∧ (planar)) ⇒ clique_number ≤ 4    -- promising:class
[   861] (nontrivial) ⇒ diameter ≤ ((2 · total_domination_number) + -1)    -- promising:universal
[   857] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ chromatic_number = clique_number    -- trivial:known
[   857] (((nontrivial) ∧ (cograph)) ∧ (planar)) ⇒ domination_number = independent_domination_number    -- promising:class
[   854] (nontrivial) ⇒ chromatic_number ≤ (zero_forcing_number + 1)    -- trivial:known
[   853] (nontrivial) ⇒ diameter ≤ (double_roman_domination_number + -1)    -- promising:universal
[   853] (nontrivial) ⇒ diameter ≤ (((3/2) · roman_domination_number) + -1)    -- promising:universal
[   839] ((nontrivial) ∧ (eulerian)) ⇒ domination_number ≤ restrained_domination_number    -- trivial:known
[   830] (((nontrivial) ∧ (bipartite)) ∧ (connected)) ⇒ edge_cover_number ≤ annihilation_number    -- trivial:subsumed
[   825] (((nontrivial) ∧ (bipartite)) ∧ (planar)) ⇒ vertex_clique_cover_number ≤ independence_number    -- trivial:known
[   811] ((nontrivial) ∧ (cograph)) ⇒ vertex_cover_number ≤ positive_semidefinite_zero_forcing_number    -- promising:class
[   800] ((nontrivial) ∧ (chordal)) ⇒ (minimum_degree + 1) ≤ chromatic_number    -- promising:class
[   792] ((nontrivial) ∧ (planar)) ⇒ ((3/2) · total_domination_number) ≤ double_roman_domination_number    -- promising:class
[   792] (nontrivial) ⇒ harmonic_index ≤ ((1/2) · order)    -- promising:universal
[   791] ((nontrivial) ∧ (regular)) ⇒ residue = slater    -- promising:class
[   791] ((nontrivial) ∧ (regular)) ⇒ average_degree = spectral_radius    -- trivial:known
[   791] ((nontrivial) ∧ (regular)) ⇒ maximum_degree = spectral_radius    -- trivial:known
[   791] (nontrivial) ⇒ minimum_degree ≤ average_degree    -- trivial:known
[   791] ((nontrivial) ∧ (regular)) ⇒ average_degree = minimum_degree    -- trivial:known
[   791] ((nontrivial) ∧ (regular)) ⇒ average_degree = maximum_degree    -- trivial:known
[   791] ((nontrivial) ∧ (regular)) ⇒ minimum_degree = spectral_radius    -- trivial:known
[   791] ((nontrivial) ∧ (regular)) ⇒ maximum_degree = minimum_degree    -- trivial:known
[   786] (((nontrivial) ∧ (connected)) ∧ (triangle_free)) ⇒ edge_cover_number ≤ vertex_clique_cover_number    -- trivial:subsumed
[   775] ((nontrivial) ∧ (cograph)) ⇒ independence_number ≤ annihilation_number    -- trivial:known
[   774] (nontrivial) ⇒ 0 ≤ algebraic_connectivity    -- promising:universal
[   771] (((nontrivial) ∧ (K_4_free)) ∧ (chordal)) ⇒ chromatic_number ≤ 3    -- promising:class
[   764] ((nontrivial) ∧ (regular)) ⇒ (2 · harmonic_index) ≤ order    -- trivial:subsumed
[   763] ((nontrivial) ∧ (subcubic)) ⇒ independence_number ≤ annihilation_number    -- trivial:known
[   756] ((nontrivial) ∧ (cograph)) ⇒ total_domination_number ≤ (2 · power_domination_number)    -- promising:class
[   751] (((nontrivial) ∧ (chordal)) ∧ (planar)) ⇒ (minimum_degree + 1) ≤ clique_number    -- promising:class
[   750] ((nontrivial) ∧ (cograph)) ⇒ total_domination_number ≤ ((2 · burning_number) + -2)    -- promising:class
[   748] ((nontrivial) ∧ (regular)) ⇒ matching_number ≤ annihilation_number    -- trivial:known
[   725] ((nontrivial) ∧ (regular)) ⇒ domination_number ≤ restrained_domination_number    -- trivial:known
[   720] (((nontrivial) ∧ (cograph)) ∧ (connected)) ⇒ domination_number = slater    -- promising:class
